"year";"plot";"focal";"competitor";"magnitude"
2018;4;"CHMI";"SASO";NA
2019;4;"CHMI";"SASO";NA
2016;5;"CHMI";"SASO";NA
2017;5;"CHMI";"SASO";NA
2018;5;"CHMI";"SASO";NA
2019;5;"CHMI";"SASO";NA
2016;6;"CHMI";"SASO";NA
2017;6;"CHMI";"SASO";NA
2018;6;"CHMI";"SASO";NA
2019;6;"CHMI";"SASO";NA
2016;7;"CHMI";"SASO";NA
2017;7;"CHMI";"SASO";NA
2018;7;"CHMI";"SASO";NA
2019;7;"CHMI";"SASO";NA
2016;8;"CHMI";"SASO";NA
2017;8;"CHMI";"SASO";NA
2018;8;"CHMI";"SASO";NA
2019;8;"CHMI";"SASO";NA
2016;9;"CHMI";"SASO";NA
2017;9;"CHMI";"SASO";NA
2018;9;"CHMI";"SASO";NA
2019;9;"CHMI";"SASO";NA
2016;1;"HOMA";"SASO";0,0118119585252856
2017;1;"HOMA";"SASO";-0,000198165107024104
2018;1;"HOMA";"SASO";0,00332302161685352
2019;1;"HOMA";"SASO";0,000160535124122817
2016;2;"HOMA";"SASO";-0,00233330177385729
2017;2;"HOMA";"SASO";-0,000234568752593457
2018;2;"HOMA";"SASO";0,00265269550039807
2019;2;"HOMA";"SASO";0,000850442201968918
2016;3;"HOMA";"SASO";0,00257171795457105
2017;3;"HOMA";"SASO";-0,00102983568477931
2018;3;"HOMA";"SASO";-0,00122349606821237
2019;3;"HOMA";"SASO";0,00192417934534449
2016;4;"HOMA";"SASO";0,00365502707843688
2017;4;"HOMA";"SASO";-0,000604584467256863
2018;4;"HOMA";"SASO";0,0129362651399717
2019;4;"HOMA";"SASO";-0,000728295358554925
2016;5;"HOMA";"SASO";0,0010118851291333
2017;5;"HOMA";"SASO";-0,0011848889146706
2018;5;"HOMA";"SASO";-8,94177099023478e-05
2019;5;"HOMA";"SASO";-0,000137064172125695
2016;6;"HOMA";"SASO";0,00920804179399216
2017;6;"HOMA";"SASO";-0,00192386456920454
2018;6;"HOMA";"SASO";0,000260863564245976
2019;6;"HOMA";"SASO";-0,000625736724288426
2016;7;"HOMA";"SASO";0,0447663919580285
2017;7;"HOMA";"SASO";NA
2018;7;"HOMA";"SASO";NA
2019;7;"HOMA";"SASO";0,000366524286632889
2016;8;"HOMA";"SASO";-0,035921482758686
2017;8;"HOMA";"SASO";NA
2018;8;"HOMA";"SASO";NA
2019;8;"HOMA";"SASO";0,00107325846126686
2016;9;"HOMA";"SASO";-0,0342652117708885
2017;9;"HOMA";"SASO";NA
2018;9;"HOMA";"SASO";NA
2019;9;"HOMA";"SASO";-0,000347256799698635
2016;1;"LEMA";"SASO";-0,0371997229175884
2017;1;"LEMA";"SASO";0,0058575818814489
2018;1;"LEMA";"SASO";-0,00073917329142123
2019;1;"LEMA";"SASO";0,00150952755146109
2016;2;"LEMA";"SASO";0,0133270256706951
2017;2;"LEMA";"SASO";-0,00125654754778892
2018;2;"LEMA";"SASO";-0,00348423397251189
2019;2;"LEMA";"SASO";0,00732527507104716
2016;3;"LEMA";"SASO";0,00126919619680877
2017;3;"LEMA";"SASO";0,00878412453969988
2018;3;"LEMA";"SASO";-0,00500748830840385
2019;3;"LEMA";"SASO";-0,00190207594881949
2016;4;"LEMA";"SASO";0,00772436297208202
2017;4;"LEMA";"SASO";0,0011027616417845
2018;4;"LEMA";"SASO";NA
2019;4;"LEMA";"SASO";0,00137238179945119
2016;5;"LEMA";"SASO";-0,00433142703766555
2017;5;"LEMA";"SASO";-0,000338435883436322
2018;5;"LEMA";"SASO";NA
2019;5;"LEMA";"SASO";0,00749631505640301
2016;6;"LEMA";"SASO";0,00907747712567495
2017;6;"LEMA";"SASO";0,0277779758142874
2018;6;"LEMA";"SASO";NA
2019;6;"LEMA";"SASO";0,00254605804947802
2016;7;"LEMA";"SASO";0,030933100452084
2017;7;"LEMA";"SASO";NA
2018;7;"LEMA";"SASO";NA
2019;7;"LEMA";"SASO";0,00138765144986824
2016;8;"LEMA";"SASO";-0,00882354478817112
2017;8;"LEMA";"SASO";NA
2018;8;"LEMA";"SASO";NA
2019;8;"LEMA";"SASO";0,0289791615281268
2016;9;"LEMA";"SASO";0,00190723464930113
2017;9;"LEMA";"SASO";NA
2018;9;"LEMA";"SASO";NA
2019;9;"LEMA";"SASO";-0,000903592446464624
