"year";"plot";"sp";"lambda"
2019;6;"SASO";NA
2016;7;"SASO";36,5629438478829
2017;7;"SASO";NA
2018;7;"SASO";25,8105451021321
2019;7;"SASO";17,449638458873
2016;8;"SASO";39,6699853459326
2017;8;"SASO";NA
2018;8;"SASO";NA
2019;8;"SASO";20,3952539491799
2016;9;"SASO";33,6041907395943
2017;9;"SASO";NA
2018;9;"SASO";NA
2019;9;"SASO";13,899584001407
2016;1;"SCLA";30,7656362381946
2017;1;"SCLA";31,7528079455759
2018;1;"SCLA";NA
2019;1;"SCLA";NA
2016;2;"SCLA";31,2345437561966
2017;2;"SCLA";32,6415122479448
2018;2;"SCLA";NA
2019;2;"SCLA";31,724254954728
2016;3;"SCLA";33,670652867432
2017;3;"SCLA";31,1371676238431
2018;3;"SCLA";NA
2019;3;"SCLA";NA
2016;4;"SCLA";31,1434116918748
2017;4;"SCLA";NA
2018;4;"SCLA";NA
2019;4;"SCLA";NA
2016;5;"SCLA";31,4942819872673
2017;5;"SCLA";NA
2018;5;"SCLA";NA
2019;5;"SCLA";NA
2016;6;"SCLA";30,7452219557874
2017;6;"SCLA";NA
2018;6;"SCLA";NA
2019;6;"SCLA";NA
2016;7;"SCLA";32,7884382066678
2017;7;"SCLA";NA
2018;7;"SCLA";NA
2019;7;"SCLA";32,1374234635438
2016;8;"SCLA";32,1016859033481
2017;8;"SCLA";NA
2018;8;"SCLA";NA
2019;8;"SCLA";33,8359440514864
2016;9;"SCLA";33,9906461615728
2017;9;"SCLA";NA
2018;9;"SCLA";NA
2019;9;"SCLA";NA
2016;1;"SOAS";NA
2017;1;"SOAS";NA
2018;1;"SOAS";NA
2019;1;"SOAS";NA
2016;2;"SOAS";274,643768488073
2017;2;"SOAS";NA
2018;2;"SOAS";NA
2019;2;"SOAS";293,646358010888
2016;3;"SOAS";248,444597366688
2017;3;"SOAS";NA
2018;3;"SOAS";NA
2019;3;"SOAS";NA
2016;4;"SOAS";NA
2017;4;"SOAS";NA
2018;4;"SOAS";NA
2019;4;"SOAS";NA
2016;5;"SOAS";NA
2017;5;"SOAS";NA
2018;5;"SOAS";NA
2019;5;"SOAS";276,570934358618
2016;6;"SOAS";261,287246122503
2017;6;"SOAS";NA
2018;6;"SOAS";NA
2019;6;"SOAS";NA
2016;7;"SOAS";251,140306031934
2017;7;"SOAS";NA
2018;7;"SOAS";NA
2019;7;"SOAS";339,516021696137
2016;8;"SOAS";220,469065244582
2017;8;"SOAS";NA
2018;8;"SOAS";NA
2019;8;"SOAS";319,652782008965
2016;9;"SOAS";269,445025725032
2017;9;"SOAS";NA
2018;9;"SOAS";NA
2019;9;"SOAS";337,722407061902
2016;1;"SPRU";1880,10189135628
2017;1;"SPRU";NA
2018;1;"SPRU";NA
2019;1;"SPRU";NA
2016;2;"SPRU";NA
2017;2;"SPRU";NA
2018;2;"SPRU";NA
2019;2;"SPRU";NA
2016;3;"SPRU";NA
2017;3;"SPRU";NA
2018;3;"SPRU";NA
2019;3;"SPRU";NA
2016;4;"SPRU";NA
2017;4;"SPRU";2740,11591596398
2018;4;"SPRU";NA
2019;4;"SPRU";2940,77614684054
2016;5;"SPRU";NA
2017;5;"SPRU";2091,9111949509
2018;5;"SPRU";NA
2019;5;"SPRU";NA
2016;6;"SPRU";1983,81325661047
2017;6;"SPRU";NA
2018;6;"SPRU";NA
2019;6;"SPRU";2039,26335224814
2016;7;"SPRU";1320,52709263482
2017;7;"SPRU";NA
2018;7;"SPRU";NA
2019;7;"SPRU";4353,83835681637
2016;8;"SPRU";977,080002042052
2017;8;"SPRU";NA
2018;8;"SPRU";NA
2019;8;"SPRU";4110,05940432471
2016;9;"SPRU";1269,74281508175
2017;9;"SPRU";NA
2018;9;"SPRU";NA
2019;9;"SPRU";NA
